School_Cod,LATITUDE,LONGITUDE,School,GradeLevel,QS,QA,Bdate,Edate,Indicator,siz,Col,QT
4438,40.377541,-104.784508,Prairie Heights Middle School,"6th, 7th and 8th Grade",66,15,10/6/2020,10/20/2020,Quarantined,1,Quarantined,81
6774,40.429775,-104.701637,Billie Martinez Elementary,1st Grade Cohort,24,2,10/7/2020,10/22/2020,Quarantined,1,Quarantined,26
6774,40.429775,-104.701637,Billie Martinez Elementary,1st Grade Cohort,21,2,10/7/2020,10/22/2020,Quarantined,1,Quarantined,23
5412,40.427505,-104.719116,Madison Elementary,4th Grade,18,1,10/7/2020,10/22/2020,Quarantined,1,Quarantined,19
6774,40.429775,-104.701637,Billie Martinez Elementary,Kindergarten,18,6,10/8/2020,10/20/2020,Quarantined,1,Quarantined,24
5620,40.419445,-104.711403,Maplewood Elementary School,3th Grade Cohort,18,2,10/9/2020,10/23/2020,Quarantined,1,Quarantined,20
5752,40.402077,-104.727592,Meeker Elementary School,Mixed Cohort,17,1,10/9/2020,10/23/2020,Quarantined,1,Quarantined,18
2850,40.410126,-104.787331,University Schools,JV Football Team,36,9,10/12/2020,10/27/2020,Quarantined,1,Quarantined,45
1875,40.412838,-104.787861,Frontier High School,Primarily 9th Grade,36,9,10/13/2020,10/28/2020,Quarantined,1,Quarantined,45
3610,40.415386,-104.701805,Greeley Central High School,A Cohort,58,6,10/14/2020,10/22/2020,Quarantined,1,Quarantined,64
3614,40.39954,-104.735039,Greeley West High School,9th Grade,14,3,10/14/2020,10/28/2020,Quarantined,1,Quarantined,17
4425,40.417755,-104.683754,Jefferson Junior/Senior High,Mixed Cohort,9,3,10/14/2020,10/23/2020,Quarantined,1,Quarantined,12
5660,40.427559,-104.766296,McAuliffe STEM Academy,Special ed and kindergarden,21,10,10/14/2020,10/23/2020,Quarantined,1,Quarantined,31
5660,40.427559,-104.766296,McAuliffe STEM Academy,ABC After School Program,19,5,10/14/2020,10/23/2020,Quarantined,1,Quarantined,24
3610,40.415386,-104.701805,Greeley Central High School,A Cohort,1,0,10/15/2020,10/21/2020,Quarantined,1,Quarantined,1
4425,40.417755,-104.683754,Jefferson Junior/Senior High,Mixed Cohort,10,5,10/16/2020,10/30/2020,Quarantined,1,Quarantined,15
2850,40.410126,-104.787331,University Schools,6th and 8th Grade Cohort,59,1,10/16/2020,10/30/2020,Quarantined,1,Quarantined,60
6774,40.429775,-104.701637,Billie Martinez Elementary,3rd Grade Cohort,21,2,10/19/2020,10/30/2020,Quarantined,1,Quarantined,23
0,40.422161,-104.692711,Greeley 6 Administration Building,Nutrition Services,0,3,10/19/2020,11/2/2020,Quarantined,1,Quarantined,3
5412,40.427505,-104.719116,Madison Elementary,Mixed Cohort,38,7,10/19/2020,11/2/2020,Quarantined,1,Quarantined,45
7700,40.418301,-104.728958,Scott Elementary School,5th Grade  ,21,2,10/19/2020,11/2/2020,Quarantined,1,Quarantined,23
1384,40.377354,-104.701286,Centennial Elementary School,Kindergarten,31,1,10/20/2020,11/2/2020,Quarantined,1,Quarantined,32
1500,40.38118,-104.710983,Chappelow K-8 Magnet School,3rd Grade Cohort,17,1,10/21/2020,11/4/2020,Quarantined,1,Quarantined,18
3162,40.424347,-104.735077,Franklin Middle School,8th Grade Cohort,19,5,10/21/2020,11/3/2020,Quarantined,1,Quarantined,24
3614,40.39954,-104.735039,Greeley West High School,Mixed Cohort,7,6,10/21/2020,10/29/2020,Quarantined,1,Quarantined,13
8965,40.406124,-104.768265,Union Colony Schools,Grades 8 and 11,134,0,10/23/2020,11/6/2020,Quarantined,1,Quarantined,134
6364,40.437233,-104.792343,Northridge High School,BB Cohort Mixed,26,4,10/24/2020,11/7/2020,Quarantined,1,Quarantined,30
7700,40.418301,-104.728958,Scott Elementary School,1st Grade Cohort,17,3,10/24/2020,11/5/2020,Quarantined,1,Quarantined,20
5985,40.403175,-104.756348,Monfort Elementary School,3rd Grade Cohort,22,2,10/26/2020,11/5/2020,Quarantined,1,Quarantined,24
2850,40.410126,-104.787331,University Schools,Kindergarten - 4th Grade Cohort,104,8,10/26/2020,11/6/2020,Quarantined,1,Quarantined,112
3614,40.39954,-104.735039,Greeley West High School,9th and 11th Grade Cohort,38,2,10/27/2020,11/6/2020,Quarantined,1,Quarantined,40
4356,40.39595,-104.711136,Jackson Elementary,1st Grade Cohort,22,2,10/27/2020,11/9/2020,Quarantined,1,Quarantined,24
4356,40.39595,-104.711136,Jackson Elementary,5th Grade Cohort,19,3,10/27/2020,11/9/2020,Quarantined,1,Quarantined,22
5660,40.427559,-104.766296,McAuliffe STEM Academy,7th Grade Cohort,38,4,10/27/2020,11/9/2020,Quarantined,1,Quarantined,42
988,40.396191,-104.720695,Brentwood Middle School,8th Grade Cohort,21,6,10/28/2020,11/12/2020,Quarantined,1,Quarantined,27
1500,40.38118,-104.710983,Chappelow K-8 Magnet School,8th Grade Cohort,27,4,10/28/2020,11/12/2020,Quarantined,1,Quarantined,31
0,40.422161,-104.692711,Greeley 6 Administration Building,NEXT Program,2,1,10/28/2020,11/11/2020,Quarantined,1,Quarantined,3
3610,40.415386,-104.701805,Greeley Central High School,A A Cohort,36,5,10/28/2020,11/11/2020,Quarantined,1,Quarantined,41
7700,40.418301,-104.728958,Scott Elementary School,2nd Grade Cohort,17,2,10/28/2020,11/5/2020,Quarantined,1,Quarantined,19
2850,40.410126,-104.787331,University Schools,Mixed Cohort,66,16,10/28/2020,11/12/2020,Quarantined,1,Quarantined,82
