School,GradeLevel,QS,QA,Bdate,Edate,add by day,sub by day,dailyQ,,
Northridge High School,BB Cohort Mixed,26,4,10/24/2020,11/7/2020,30,30,700,,
University Schools,Kindergarten - 4th Grade Cohort,104,8,10/26/2020,11/6/2020,112,112,812,,112
Monfort Elementary School,3rd Grade Cohort,22,2,10/26/2020,11/5/2020,24,24,836,,
McAuliffe STEM Academy,7th Grade Cohort,38,4,10/27/2020,11/9/2020,44,44,880,,
Jackson Elementary,1st Grade Cohort,22,2,10/27/2020,11/9/2020,24,24,904,,
Jackson Elementary,5th Grade Cohort,19,3,10/27/2020,11/9/2020,22,22,926,,
Greeley West High School,9th and 11th Grade Cohort,38,2,10/27/2020,11/6/2020,40,40,966,,40
Greeley Central High School,A A Cohort,36,5,10/28/2020,11/11/2020,36,19,985,,
Chappelow K-8 Magnet School,8th Grade Cohort,27,4,10/28/2020,11/12/2020,31,31,1016,,
Scott Elementary School,2nd Grade Cohort,17,2,10/28/2020,11/5/2020,19,19,1035,,
Greeley 6 Administration Building,NEXT Program,2,1,10/28/2020,11/11/2020,3,3,1038,,
University Schools,Mixed Cohort,66,16,10/28/2020,11/12/2020,82,82,1120,,
Brentwood Middle School,8th Grade Cohort,21,6,10/28/2020,11/12/2020,27,27,1147,,
Billie Martinez Elementary,1st  Grade Cohort,23,4,10/29/2020,11/11/2020,27,14,1161,,
Meeker Elementary School,3rd Grade Cohort,23,4,10/29/2020,11/12/2020,27,27,1188,,
Salida del Sol Academy,6th and 8th Grade Cohort,50,9,10/29/2020,11/12/2020,59,59,1247,,
Jefferson Junior/Senior High,Mixed Students,1,16,10/29/2020,11/12/2020,17,17,1264,,
Greeley West High School,Mixed Cohort,87,7,10/29/2020,11/7/2020,94,94,1358,,
Maplewood Elementary School,Mixed Cohort,9,1,10/29/2020,11/12/2020,10,10,1368,,
Brentwood Middle School,8th Grade Cohort,61,1,10/29/2020,11/12/2020,62,62,1595,,
Union Colony Schools,8thGrade Cohort,23,7,10/30/2020,11/11/2020,30,-68,1300,98,
Jackson Elementary,3rd Grade Cohort,18,2,10/30/2020,11/11/2020,20,20,1320,,
Greeley 6 Administration Building,Transportation,0,7,10/31/2020,11/14/2020,7,7,1327,,
Meeker Elementary School,1st  Grade Cohort,17,0,10/31/2020,11/14/2020,17,17,1344,,
Frontier Elementary,Mixed Cohort,25,1,11/1/2020,11/16/2020,26,26,1370,,
Greeley West High School,AA and C Team Football Cohorts,60,8,11/1/2020,11/16/2020,68,68,1438,,
Heiman Elementary School,Kindergarten and 1st Grade Cohorts,44,4,11/2/2020,11/13/2020,48,48,1486,,
Chappelow K-8 Magnet School,4th Grade Cohort,19,4,11/2/2020,11/16/2020,23,23,1509,,
Scott Elementary School,5th Grade Cohort,22,2,11/2/2020,11/16/2020,24,24,1533,,
Heath Middle School,8th Grade Cohort,22,6,11/3/2020,11/18/2020,24,0,1595,24,
Frontier Elementary,,0,1,11/3/2020,11/18/2020,1,1,1596,,
Northridge High School,9th Grade Cohort BB,29,6,11/3/2020,11/16/2020,35,35,1631,,
Northridge High School,9th and 11th Grade Cohort,51,1,11/3/2020,11/17/2020,52,52,1908,,
Heiman Elementary School,5th Grade Cohorts,22,3,11/4/2020,11/13/2020,25,7,1638,18,
Greeley Central High School,Mixed Cohort,20,0,11/4/2020,11/16/2020,20,20,1658,,
Maplewood Elementary School,4th Grade Cohort,27,3,11/5/2020,11/19/2020,30,-9,1649,39,
Jackson Elementary,Kindergarden Cohot,21,2,11/5/2020,11/19/2020,23,23,1672,,
Maplewood Elementary School,4th Grade Cohort,27,3,11/5/2020,11/19/2020,30,30,1702,,
McAuliffe STEM Academy,2nd Grade Cohort,18,1,11/5/2020,11/17/2020,19,19,1721,,
McAuliffe STEM Academy,Kindergarden Cohort,20,0,11/5/2020,11/18/2020,20,20,1741,,
Chappelow K-8 Magnet School,Mixed Cohort,4,3,11/5/2020,11/17/2020,7,7,1748,,
Franklin Middle School,7th Grade Cohort,21,3,11/5/2020,11/14/2020,24,24,1772,,
Bella Romero,4th and 5th Grade Cohorts,64,5,11/6/2020,11/17/2020,70,-216,1556,-286,
Frontier Elementary,Remote Learning,0,0,11/6/2020,11/30/2020,0,0,1556,,
Heiman Elementary School,3rd Grade Cohorts,19,6,11/6/2020,11/18/2020,25,25,1581,,
Prairie Heights Middle School,8th Grade,21,5,11/6/2020,11/19/2020,26,26,1607,,
Salida del Sol Academy,2nd Grade Cohort,18,3,11/6/2020,12/1/2020,21,21,1628,,
Heiman Elementary School,"2,3, 5th Grade Cohorts",65,9,11/6/2020,12/1/2020,74,74,1702,,
Franklin Middle School,6th Grade Cohort,21,1,11/7/2020,11/19/2020,22,-102,1600,-124,
Franklin Middle School,8th Grade Cohort,41,1,11/7/2020,11/17/2020,42,42,1642,,
Heath Middle School,7th Grade Cohort,24,6,11/7/2020,11/30/2020,30,30,1672,,
Greeley West High School,Mixed Cohort,23,4,11/7/2020,11/13/2020,27,27,1699,,
Franklin Middle School,7th Grade Cohort,41,1,11/7/2020,11/17/2020,42,42,1704,,
Shawsheen Elementary,"Kindergarden, 5th Grade Cohort",52,5,11/8/2020,11/30/2020,57,57,1783,,
Frontier Elementary,K-5 Cohorts,0,3,11/9/2020,11/30/2020,3,-87,1612,-90,
Early Childhood Center at Aims Community College,Preschool,15,5,11/9/2020,11/30/2020,20,20,1632,,
Frontier Elementary,7th Grade Cohort,22,8,11/9/2020,11/13/2020,30,30,1662,,
Winograd K-8 Elementary School,Kindergarted Cohort,21,1,11/9/2020,11/19/2020,22,22,1726,,
Bella Romero,4th and 5th Grade Cohorts,41,7,11/9/2020,11/30/2020,48,48,1831,,
Meeker Elementary School,4th Grade Cohort,23,2,11/9/2020,11/30/2020,25,25,1856,,
Franklin Middle School,6th Grade Cohort,21,4,11/9/2020,11/30/2020,25,25,1881,,
Dos Rios Elementary School,5th Grade Cohort,18,2,11/9/2020,11/30/2020,20,20,1901,,
University Schools,5th Grade Cohort,23,2,11/9/2020,11/20/2020,25,25,1926,,
